Local Authority Code,Local Authority Name,ITL1 Region,Rural / Urban,Median age,Population Density,IMD Quintile,Coastal towns
E06000001,Hartlepool,North East,Predominantly Urban,41-44,441-1073,1,Y
E06000002,Middlesbrough,North East,Predominantly Urban,40 and less,1074-2776,1,N
E06000003,Redcar and Cleveland,North East,Urban with Significant Rural,45+,441-1073,1,Y
E06000004,Stockton-on-Tees,North East,Predominantly Urban,41-44,441-1073,2,N
E06000005,Darlington,North East,Predominantly Urban,41-44,441-1073,2,N
E06000006,Halton,North West,Predominantly Urban,41-44,1074-2776,1,N
E06000007,Warrington,North West,Predominantly Urban,41-44,1074-2776,3,N
E06000008,Blackburn with Darwen,North West,Predominantly Urban,40 and less,1074-2776,1,N
E06000009,Blackpool,North West,Predominantly Urban,41-44,2777 +,1,Y
E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,Predominantly Urban,40 and less,2777 +,1,Y
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,Predominantly Rural,45+,Less than 185,4,Y
E06000012,North East Lincolnshire,Yorkshire and The Humber,Predominantly Urban,41-44,441-1073,1,Y
E06000013,North Lincolnshire,Yorkshire and The Humber,Urban with Significant Rural,41-44,185-440,2,Y
E06000014,York,Yorkshire and The Humber,Predominantly Urban,40 and less,441-1073,5,N
E06000015,Derby,East Midlands,Predominantly Urban,40 and less,2777 +,2,N
E06000016,Leicester,East Midlands,Predominantly Urban,40 and less,2777 +,1,N
E06000017,Rutland,East Midlands,Predominantly Rural,45+,Less than 185,5,N
E06000018,Nottingham,East Midlands,Predominantly Urban,40 and less,2777 +,1,N
E06000019,"Herefordshire, County of",West Midlands,Predominantly Rural,45+,Less than 185,3,N
E06000020,Telford and Wrekin,West Midlands,Predominantly Urban,40 and less,441-1073,2,N
E06000021,Stoke-on-Trent,West Midlands,Predominantly Urban,40 and less,1074-2776,1,N
E06000022,Bath and North East Somerset,South West,Urban with Significant Rural,40 and less,441-1073,5,N
E06000023,"Bristol, City of",South West,Predominantly Urban,40 and less,2777 +,2,N
E06000024,North Somerset,South West,Urban with Significant Rural,45+,441-1073,4,Y
E06000025,South Gloucestershire,South West,Predominantly Urban,40 and less,441-1073,5,N
E06000026,Plymouth,South West,Predominantly Urban,40 and less,2777 +,2,Y
E06000027,Torbay,South West,Predominantly Urban,45+,1074-2776,1,Y
E06000030,Swindon,South West,Predominantly Urban,40 and less,441-1073,3,N
E06000031,Peterborough,East of England,Predominantly Urban,40 and less,441-1073,1,N
E06000032,Luton,East of England,Predominantly Urban,40 and less,2777 +,2,N
E06000033,Southend-on-Sea,East of England,Predominantly Urban,41-44,2777 +,2,Y
E06000034,Thurrock,East of England,Predominantly Urban,40 and less,1074-2776,3,N
E06000035,Medway,South East,Predominantly Urban,40 and less,1074-2776,2,N
E06000036,Bracknell Forest,South East,Predominantly Urban,40 and less,1074-2776,5,N
E06000037,West Berkshire,South East,Urban with Significant Rural,41-44,185-440,5,N
E06000038,Reading,South East,Predominantly Urban,40 and less,2777 +,3,N
E06000039,Slough,South East,Predominantly Urban,40 and less,2777 +,2,N
E06000040,Windsor and Maidenhead,South East,Predominantly Urban,41-44,441-1073,5,N
E06000041,Wokingham,South East,Predominantly Urban,41-44,441-1073,5,N
E06000042,Milton Keynes,South East,Predominantly Urban,40 and less,441-1073,3,N
E06000043,Brighton and Hove,South East,Predominantly Urban,40 and less,2777 +,3,Y
E06000044,Portsmouth,South East,Predominantly Urban,40 and less,2777 +,1,N
E06000045,Southampton,South East,Predominantly Urban,40 and less,2777 +,1,N
E06000046,Isle of Wight,South East,Predominantly Rural,45+,185-440,2,Y
